#,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,11/20/2018,23:28.7,0m 0.4s,0.4,39.89197407,-105.2622361,0,0,0.3,6402,0,0,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,Data Recorder File Index is 7.,,Compass abnormalSolution: 1. Ensure there are no magnets or metal objects near the aircraft. The ground or walls may contain metal. Move away from sources of interference before attempting flight. 2. Calibrate Compass Before Takeoff.
2,11/20/2018,23:28.8,0m 0.5s,0.5,39.89197404,-105.2622361,0,0,0.3,6402,0,0,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
3,11/20/2018,23:28.8,0m 0.6s,0.6,39.89197409,-105.2622361,0,0,0.3,6402,0,0,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
4,11/20/2018,23:29.0,0m 0.7s,0.7,39.89197407,-105.2622361,0,0,0.3,6402,0,0,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
5,11/20/2018,23:29.1,0m 0.8s,0.8,39.89197412,-105.262236,0,0,0.3,6402,1.1,1.1,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
6,11/20/2018,23:29.2,0m 0.9s,0.9,39.8919741,-105.2622359,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.254,TRUE,4.314,4.314,4.314,4.314,,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.1,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
7,11/20/2018,23:29.3,0m 1.0s,1,39.89197398,-105.262236,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.5,6.1,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.017,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
8,11/20/2018,23:29.4,0m 1.1s,1.1,39.89197396,-105.262236,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.3,6,-45.7,314.3,Starting Motors,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.017,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
9,11/20/2018,23:29.5,0m 1.2s,1.2,39.89197401,-105.2622359,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.2,5.9,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.017,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
10,11/20/2018,23:29.6,0m 1.3s,1.3,39.89197399,-105.2622358,0,0,0.3,6402,1.1,1.1,0,0,0,0,0,0,4.3,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.017,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,5977.7,1532.73,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
11,11/20/2018,23:29.7,0m 1.4s,1.4,39.89197388,-105.2622357,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.3,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
12,11/20/2018,23:29.8,0m 1.5s,1.5,39.89197385,-105.2622357,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.4,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
13,11/20/2018,23:29.9,0m 1.6s,1.6,39.8919739,-105.2622358,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.3,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
14,11/20/2018,23:30.0,0m 1.7s,1.7,39.89197388,-105.2622357,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.4,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.2,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
15,11/20/2018,23:30.1,0m 1.8s,1.8,39.89197377,-105.2622356,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.4,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1516,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.3,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
16,11/20/2018,23:30.2,0m 1.9s,1.9,39.89197375,-105.2622356,0,0,0.3,6402,0,1.1,0,0,0,0,0,0,4.3,6,-45.7,314.3,Manual Takeoff,Other,Takeoff (RC Assisted),13,4,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-46.1,313.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Card Too Slow,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,,,,17.088,FALSE,4.257,4.261,4.25,4.249,0.012,FALSE,FALSE,,,,,0,1,0,15,10,6337.8,1625.08,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89197839,-105.2622411,2.3,6130.5,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,207.7,6462.2,50.2,45.7,8.3,0,208,dronefo...-Mavic 2 Enterprise,276DFAP001K3FQ,0K8HFA801103AV,0VECFAN0072UWQ,161AFAB6360172,,Android, 4.8.0,,,,,,
